2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"7305.6","8943.6","10830.5","13208.2","17027.2","21609.8","26917.2","33247.5","41276.8","38807.2","46308.5","60114.0","68103.4","72985.7","79030.0","83087.4","85616.1","91843.2","103861.7","109608.3","107658.1","135773.8","155188.9","172148.3"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
